Date,Close,High,Low,Open,Volume,Label
2018-01-02,189.52447509765625,189.52447509765625,188.30173654863913,188.70931606497817,18055269,0
2018-01-03,193.1926727294922,194.00783168615672,191.9699342944954,192.37751377282765,29308091,0
2018-01-04,195.23062133789062,195.6382009231472,192.7851438263513,195.6382009231472,29096613,0
2018-01-05,195.63819885253906,195.63819885253906,194.0078805287679,195.63819885253906,22438255,1
2018-01-08,197.26849365234375,197.6760731846833,196.0457550553251,197.26849365234375,20233692,1
2018-01-09,197.26849365234375,197.26849365234375,195.23059599064598,197.26849365234375,19043123,0
2018-01-10,192.7850799560547,197.26845390852108,192.37750050583048,196.86087445829685,23631220,1
2018-01-11,191.56236267089844,192.37752166098738,189.52446519567613,191.56236267089844,30446338,1
2018-01-12,193.1926727294922,194.00783168615672,190.33961638116634,191.15477533783087,21513291,0
2018-01-15,195.63819885253906,195.63819885253906,194.0078805287679,195.63819885253906,27476533,0
2018-01-16,196.0457305908203,196.0457305908203,194.00783318343133,195.63815110934252,21691632,1
2018-01-17,197.26849365234375,198.08365271702286,194.82301645830643,196.0457550553251,38046119,1
2018-01-18,202.5670166015625,203.78975513235665,199.7139600297095,199.7139600297095,49896952,0
2018-01-19,208.2731475830078,208.2731475830078,205.01251122163,206.6428294023189,50549292,0
2018-01-22,213.16407775878906,213.5716572573718,209.49586227154413,209.90344177012688,43400509,1
2018-01-23,216.83233642578125,216.83233642578125,213.9792793675473,213.9792793675473,33527444,1
2018-01-24,210.31105041503906,214.38684596571812,209.08831174983536,214.38684596571812,41874813,0
2018-01-25,210.31105041503906,215.20200507585392,209.08831174983536,210.31105041503906,44643756,0
2018-01-26,207.86553955078125,209.90343699735752,206.64280108283546,209.088278018727,39555523,0
2018-01-29,210.71864318847656,213.16412067228865,207.86558612402908,211.1262227691119,30071234,1
2018-01-30,206.2352294921875,209.90344503651494,205.82764998726222,208.68070652173913,36860591,1
2018-01-31,207.86553955078125,209.90343699735752,205.4200626148897,206.2352215935202,44136808,0
2018-02-01,211.53372192382812,212.7564602008445,209.49582479546754,209.90340422113968,30559457,1
2018-02-02,211.53372192382812,211.94130134950024,207.8655070927791,211.126142498156,25707560,1
2018-02-05,206.2352294921875,207.4579680069633,204.19733196756113,204.6049114724864,45594379,0
2018-02-06,194.82301330566406,198.49122903736068,190.7472180482234,197.67606998587254,102409048,0
2018-02-07,195.63819885253906,200.12157424290976,195.23061927159628,199.71399466196698,80063178,0
2018-02-08,194.41543579101562,197.26849250073704,194.00785626105542,195.23059485093603,30989550,1
2018-02-09,189.52447509765625,189.9320546139953,186.2638389669439,187.48657751596102,65735265,1
2018-02-12,192.7850799560547,193.60023885650313,191.56234160538204,191.96992105560625,35635236,0
2018-02-21,197.67608642578125,199.3064046643444,197.26850686614046,199.3064046643444,71504174,0
2018-02-22,195.23062133789062,198.89883760519965,194.82304175263408,198.89883760519965,39239993,0
2018-02-23,199.7139434814453,199.7139434814453,196.45330766950337,196.45330766950337,26985776,1
2018-02-26,200.93667602539062,201.7518349544997,199.713937631727,201.34425548994517,35901810,1
2018-02-27,200.5290985107422,204.1973137274021,200.5290985107422,204.1973137274021,40818119,0
2018-03-01,198.08364868164062,199.71396677778583,197.26848963356804,198.89880772971324,39719984,0
2018-03-02,195.63819885253906,196.45335801442465,194.4154601097107,195.63819885253906,35139170,1
2018-03-05,196.8608856201172,198.0836240401179,196.04572667345005,197.67604456678436,27337846,1
2018-03-06,203.7897491455078,203.7897491455078,200.12153366088867,200.12153366088867,34890780,0
2018-03-07,201.3442840576172,202.56702262476873,200.52912501284953,202.15944310238487,30391219,0
2018-03-08,203.3821563720703,205.0124742588204,202.9745769003828,203.3821563720703,20645694,0
2018-03-09,204.1973419189453,204.60492144373362,202.56702381979207,203.789762394157,19831063,0
2018-03-12,207.05038452148438,207.86554351566343,205.0124870360367,205.42006653312623,24492615,1
2018-03-13,211.126220703125,211.126220703125,207.86558408994935,208.2731636665963,33756883,1
2018-03-14,209.49588012695312,209.90345966027402,208.27314152699034,209.0883005936322,23772838,0
2018-03-15,207.86553955078125,210.3110164866728,207.86553955078125,210.3110164866728,19396493,0
2018-03-16,207.86553955078125,208.68069852941176,203.3821651683134,206.2352215935202,62929326,0
2018-03-19,207.86553955078125,208.2731190400965,204.6049036362592,205.82764210420495,21440766,0
2018-03-20,206.2352294921875,207.05038850203803,205.0124909774117,206.2352294921875,21840151,0
2018-03-21,205.82766723632812,207.8655649317373,204.6049286190826,207.8655649317373,28976737,0
2018-03-22,205.01246643066406,207.45794316741154,203.38214860616574,207.45794316741154,27000668,0
2018-03-23,199.7139434814453,201.3442613874163,198.89878452845983,199.7139434814453,52498390,1
2018-03-26,198.49124145507812,199.30640055756305,196.86092325010827,196.86092325010827,36987945,1
2018-03-27,204.6049041748047,204.6049041748047,201.3442682517002,202.15942723247633,31008260,1
2018-03-28,199.7139434814453,202.1594203404018,198.89878452845983,201.75184086390905,29637411,1
2018-03-29,198.89877319335938,201.34424991294983,197.67603483356413,198.0836142868292,36165345,1
2018-03-30,200.5290985107422,203.38215479036657,200.5290985107422,201.75183691629547,16996346,0
2018-04-02,200.93667602539062,202.97457334816335,199.713937631727,202.5669938836088,17696003,0
2018-04-03,198.89877319335938,199.30635264662445,197.26845538029903,198.0836142868292,35813944,0
2018-04-09,199.7139434814453,202.1594203404018,198.49120505196709,202.1594203404018,34694824,0
2018-04-10,200.12152099609375,202.9745773035737,198.49120310610522,199.30636205109948,25156994,1
